auditStartTime,adminActionType,issueType,severity,description,location,indicatorCode,countryCode,detectedAt,additionalData
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/ITA,indicators/BN.CAB.XOKA.GD.ZS/series/ITA; countries/ITA/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,ITA,2025-09-14T15:45:22.731797,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/ITA, countries/ITA/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/JPN,indicators/BN.CAB.XOKA.GD.ZS/series/JPN; countries/JPN/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,JPN,2025-09-14T15:45:22.731824,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/JPN, countries/JPN/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/KOR,indicators/BN.CAB.XOKA.GD.ZS/series/KOR; countries/KOR/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,KOR,2025-09-14T15:45:22.731848,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/KOR, countries/KOR/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/LTU,indicators/BN.CAB.XOKA.GD.ZS/series/LTU; countries/LTU/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,LTU,2025-09-14T15:45:22.731867,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/LTU, countries/LTU/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/LUX,indicators/BN.CAB.XOKA.GD.ZS/series/LUX; countries/LUX/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,LUX,2025-09-14T15:45:22.731887,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/LUX, countries/LUX/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/LVA,indicators/BN.CAB.XOKA.GD.ZS/series/LVA; countries/LVA/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,LVA,2025-09-14T15:45:22.731907,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/LVA, countries/LVA/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/MEX,indicators/BN.CAB.XOKA.GD.ZS/series/MEX; countries/MEX/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,MEX,2025-09-14T15:45:22.731928,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/MEX, countries/MEX/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/NLD,indicators/BN.CAB.XOKA.GD.ZS/series/NLD; countries/NLD/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,NLD,2025-09-14T15:45:22.731947,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/NLD, countries/NLD/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/NOR,indicators/BN.CAB.XOKA.GD.ZS/series/NOR; countries/NOR/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,NOR,2025-09-14T15:45:22.731968,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/NOR, countries/NOR/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/NZL,indicators/BN.CAB.XOKA.GD.ZS/series/NZL; countries/NZL/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,NZL,2025-09-14T15:45:22.731990,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/NZL, countries/NZL/indicators/BN.CAB.XOKA.GD.ZS]}"
